Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
IP-001 (Login),Chrome 76.0.3809.100,Login,,2019-08-24 14:16:36,2019-08-24 14:17:58,1m - 21.823s,INCOMPLETE
,,,,,,,
Test Cases/IP-001 (Login),Chrome 76.0.3809.100,,,2019-08-24 14:16:36,2019-08-24 14:17:58,1m - 21.527s,PASSED
"openBrowser(""http://kamisa.web.iprop-dev.com/login"")",Chrome 76.0.3809.100,,,2019-08-24 14:16:37,2019-08-24 14:16:56,19.271s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-24 14:16:56,2019-08-24 14:16:57,1.038s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Email_email""), ""didinonpqcms@gmail.com"")",Chrome 76.0.3809.100,,,2019-08-24 14:16:57,2019-08-24 14:17:13,15.646s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-24 14:17:13,2019-08-24 14:17:14,1.007s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/4.png"")",Chrome 76.0.3809.100,,,2019-08-24 14:17:14,2019-08-24 14:17:19,5.815s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Password_password""), ""testing12345"")",Chrome 76.0.3809.100,,,2019-08-24 14:17:19,2019-08-24 14:17:35,15.249s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-24 14:17:35,2019-08-24 14:17:36,1.006s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/5.png"")",Chrome 76.0.3809.100,,,2019-08-24 14:17:36,2019-08-24 14:17:41,5.447s,PASSED
"click(findTestObject(""Page_iPropio - Login/button_Login Now""))",Chrome 76.0.3809.100,,,2019-08-24 14:17:41,2019-08-24 14:17:51,10.123s,PASSED
delay(1),Chrome 76.0.3809.100,,,2019-08-24 14:17:51,2019-08-24 14:17:52,1.004s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/7.png"")",Chrome 76.0.3809.100,,,2019-08-24 14:17:52,2019-08-24 14:17:58,5.271s,PASSED
cucumber.api.junit.Cucumber,Chrome 76.0.3809.100,,,2019-08-24 14:17:58,2019-08-24 14:17:58,0.000s,PASSED
