Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IP-001 (Login),Chrome 76.0.3809.100,Login,2019-08-26 18:45:50,2019-08-26 18:47:32,1m - 41.400s,PASSED
,,,,,,
Test Cases/IP-001 (Login),Chrome 76.0.3809.100,,2019-08-26 18:45:51,2019-08-26 18:47:26,1m - 35.714s,PASSED
"openBrowser(""http://kamisa.web.iprop-dev.com/login"")",Chrome 76.0.3809.100,,2019-08-26 18:45:51,2019-08-26 18:46:11,20.264s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:46:11,2019-08-26 18:46:12,1.210s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Email_email""), ""didinonpqcms@gmail.com"")",Chrome 76.0.3809.100,,2019-08-26 18:46:12,2019-08-26 18:46:34,21.441s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:46:34,2019-08-26 18:46:35,1.141s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/4.png"")",Chrome 76.0.3809.100,,2019-08-26 18:46:35,2019-08-26 18:46:41,6.027s,PASSED
"setText(findTestObject(""Page_iPropio - Login/input_Password_password""), ""testing12345"")",Chrome 76.0.3809.100,,2019-08-26 18:46:41,2019-08-26 18:47:02,20.979s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:47:02,2019-08-26 18:47:03,1.144s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/5.png"")",Chrome 76.0.3809.100,,2019-08-26 18:47:03,2019-08-26 18:47:09,5.872s,PASSED
"click(findTestObject(""Page_iPropio - Login/button_Login Now""))",Chrome 76.0.3809.100,,2019-08-26 18:47:09,2019-08-26 18:47:20,10.491s,PASSED
delay(1),Chrome 76.0.3809.100,,2019-08-26 18:47:20,2019-08-26 18:47:21,1.150s,PASSED
"takeScreenshot(""/Users/refqi/Documents/webippro/7.png"")",Chrome 76.0.3809.100,,2019-08-26 18:47:21,2019-08-26 18:47:26,5.533s,PASSED
