Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
IP-024 ( all report matching data ),Chrome 76.0.3809.100,,2019-08-27 07:02:46,2019-08-27 07:06:11,3m - 24.853s,PASSED
,,,,,,
Test Cases/IP-024 ( all Report matching data ),Chrome 76.0.3809.100,,2019-08-27 07:02:46,2019-08-27 07:06:06,3m - 19.135s,PASSED
"callTestCase(findTestCase(""IP-001 (Login tenant)""), [""Email"":""aaa@gmail.com"", ""Password"":""123445656""], STOP_ON_FAILURE)",Chrome 76.0.3809.100,,2019-08-27 07:02:47,2019-08-27 07:04:31,1m - 44.052s,PASSED
"click(findTestObject(""all report no matching data/div_Reports""))",Chrome 76.0.3809.100,,2019-08-27 07:04:31,2019-08-27 07:04:41,10.344s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,2019-08-27 07:04:41,2019-08-27 07:04:47,5.504s,PASSED
"click(findTestObject(""all report no matching data/a_All Transactions""))",Chrome 76.0.3809.100,,2019-08-27 07:04:47,2019-08-27 07:04:57,10.304s,PASSED
"click(findTestObject(""all report no matching data/input_Date Range_date""))",Chrome 76.0.3809.100,,2019-08-27 07:04:57,2019-08-27 07:05:08,10.360s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,2019-08-27 07:05:08,2019-08-27 07:05:13,5.477s,PASSED
"click(findTestObject(""all report no matching data/button_previous 30 days""))",Chrome 76.0.3809.100,,2019-08-27 07:05:13,2019-08-27 07:05:23,10.337s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,2019-08-27 07:05:23,2019-08-27 07:05:29,5.454s,PASSED
"click(findTestObject(""all report no matching data/input_Paid_vs__search""))",Chrome 76.0.3809.100,,2019-08-27 07:05:29,2019-08-27 07:05:39,10.264s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,2019-08-27 07:05:39,2019-08-27 07:05:44,5.425s,PASSED
"click(findTestObject(""all report no matching data/li_Paid""))",Chrome 76.0.3809.100,,2019-08-27 07:05:44,2019-08-27 07:05:55,10.263s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,2019-08-27 07:05:55,2019-08-27 07:06:00,5.382s,PASSED
delay(0),Chrome 76.0.3809.100,,2019-08-27 07:06:00,2019-08-27 07:06:00,0.001s,PASSED
takeScreenshot(),Chrome 76.0.3809.100,,2019-08-27 07:06:00,2019-08-27 07:06:06,5.399s,PASSED
